NAME OF THE COMPOSITE,DENSITY,HARDNESS,PRIMARY CHEMICAL COMPONENT,PRIMARY CHEMICAL COMPOSITION,SECONDARY CHEMICAL COMPOSITION,TERTIARY  CHEMICALCOMPOSITION,YOUNGS MODULUS,YIELD STRENGTH,TENSILE STRENGTH,MODULUS OF ELASTISITY,THERMAL CONDUCTIVITY,FORMABILITY,THERMAL EXPANSION,DURABILITY,RECYCLABILITY,SPECIFIC HEAT CAPACITY,CORROSIVE ENVIRONMENT,OPERATING TEMPERATURE,COST EFFECTIVENESS,STRENGTH TO WEIGHT RATIO,CORROSION RESISTANCE,FATIGUE RESISTANCE
Aluminum-Silicon Carbide,2.5,150,Al,63.0,37.0,0,300.0,400,500.0,300.0,200,Medium,20.0,High,Complicate,0.9,Medium,300,High,High,High,High
Aluminum-Boron Carbide,2.67,220,Al,85.0,15.0,0,126.0,400,130.5,126.0,160,Medium,10.0,High,Complicate,0.9,High,400,Medium,High,High,High
Aluminum-Alumina,3.0,240,Al,98.0,2.0,0,250.0,300,400.0,300.0,30,Complicate,15.0,High,Complicate,0.9,High,600,Medium,Medium,Medium,Medium
Aluminum-Graphite,2.8,50,Al,94.0,6.0,0,150.0,150,250.0,150.0,200,Complicate,15.0,High,Complicate,0.9,Medium,400,High,Medium,High,High
Aluminum-Zirconium,3.0,200,Al,94.5,5.5,0,120.0,600,800.0,110.0,120,Medium,18.0,High,Complicate,0.9,High,400,Medium,Medium,Medium,Medium
Aluminum-Silicon,2.7,70,Al,88.0,12.0,0,120.0,400,450.0,120.0,220,Low,21.0,High,Complicate,0.9,Medium,300,High,Medium,Medium,Medium
Aluminum-Titanium Carbide,4.5,320,Al,42.0,33.0,25,300.0,1200,1500.0,300.0,280,Low,9.5,High,Complicate,0.9,High,600,Medium,High,High,High
Aluminum-Magnesium ,2.5,100,Al,86.0,10.0,4,80.0,400,450.0,70.0,180,Low,25.0,High,Medium,0.9,Medium,200,High,High,High,Medium
Nickel-Aluminum,8.9,150,Ni,70.0,29.0,1,200.0,200,400.0,200.0,90,Low,13.6,Medium,Complicate,0.4,High,600,Medium,High,High,High
Nickel-Silicon Carbide,6.25,250,Ni,90.0,10.0,0,360.0,1000,1200.0,380.0,250,Low,12.8,Medium,Possible,0.4,High,600,Medium,High,Medium,High
Nickel-Graphite,7.2,100,Ni,60.0,40.0,0,180.0,200,200.0,180.0,500,Low,11.0,Medium,Complicate,0.4,Medium,400,Medium,Medium,High,Medium
Nickel-Boron,7.45,500,Ni,93.0,7.0,0,300.0,1200,1500.0,400.0,60,Low,11.0,High,Complicate,0.4,High,600,Medium,Medium,High,High
Nickel-Tungsten,18.85,800,Ni,50.0,45.0,5,380.0,1500,2000.0,380.0,70,Low,11.0,High,Complicate,0.4,High,600,Low,Medium,High,High
Nickel-Copper,8.9,160,Ni,85.0,13.0,2,180.0,500,700.0,180.0,300,Low,16.0,High,Complicate,0.4,High,400,Medium,High,High,High
Nickel-Titanium,6.45,150,Ni,55.0,45.0,0,83.0,800,1500.0,83.0,20,High,6.6,High,Medium,0.4,High,600,Medium,High,High,High
Nickel-Molybdenum,9.2,250,Ni,70.0,30.0,0,210.0,600,1000.0,230.0,80,Medium,15.0,High,Medium,0.4,High,600,Medium,High,High,High
Nickel-Zirconium,8.196,200,Ni,95.0,3.0,2,169.7,197,195.0,169.37,79,Medium,11.09,Medium,Medium,0.4,High,600,Medium,Medium,High,Medium
Nickel-Cobalt,8.9,300,Ni,85.0,15.0,0,210.0,300,350.0,210.0,70,Medium,13.0,High,Medium,0.4,High,600,Medium,Medium,High,High
Magnesium-Silicon Carbide,1.9,100,Mg,90.0,10.0,0,60.0,180,250.0,60.0,200,Medium,26.0,Medium,Medium,1.0,Medium,200,High,High,Medium,Medium
Magnesium-Alumina,2.2,120,Mg,90.0,10.0,0,70.0,190,260.0,70.0,150,Medium,25.0,High,Medium,1.0,Medium,200,High,High,Medium,Medium
Magnesium-Boron ,2.4,90,Mg,90.0,10.0,0,50.0,150,200.0,50.0,100,Low,24.0,Medium,Medium,1.0,Medium,200,High,High,Medium,Medium
Magnesium-Aluminum,1.8,70,Mg,90.0,10.0,0,45.0,150,220.0,45.0,155,High,24.0,Medium,High,1.0,Medium,200,High,High,Medium,Medium
